prompt,deviation,rgb,hex
crimson,26.36,165 26 22,#a51a16
crimson purple,23.46,116 29 66,#741d42
crimson red,23.83,166 19 17,#a61311
crocus purple,17.85,138 108 152,#8a6c98
crystal blue,22.15,76 155 192,#4c9bc0
cyan,30.56,91 178 176,#5bb2b0
cyan blue,27.39,61 160 187,#3da0bb
cyan opaque,28.83,74 173 181,#4aadb5
dark almond,27.62,158 122 72,#9e7a48
dark beige,18.5,176 146 108,#b0926c
dark bisque,35.91,115 93 61,#735d3d
dark black,9.97,22 22 20,#161614
dark blonde,26.62,142 106 59,#8e6a3b
dark blue,26.69,19 53 88,#133558
dark blue gray,19.89,53 72 86,#354856
dark blueish purple,18.25,45 41 86,#2d2956
dark bluey gray,18.78,50 67 79,#32434f
dark bluey green,27.66,20 88 67,#145843
dark bluey turquoise,29.41,23 120 126,#17787e
dark blurple,20.64,69 44 84,#452c54
dark bronze,23.39,85 56 35,#553823
dark brown,21.73,80 51 32,#503320
dark brownish gray,16.62,71 61 51,#473d33
dark carnation pink,30.57,176 90 101,#b05a65
dark coffee,25.3,81 54 34,#513622
dark forest green,18.98,30 83 52,#1e5334
dark gainsboro,30.39,71 65 53,#474135
dark gold,26.71,146 100 27,#92641b
dark goldenrod,23.68,194 151 22,#c29716
dark gray,16.46,57 59 59,#393b3b
dark grayish olive,19.36,82 85 68,#525544
dark green,26.95,21 83 43,#15532b
dark green blue,23.0,19 90 68,#135a44
dark greenish blue,25.02,22 84 70,#165446
dark greenish brown,22.46,61 70 42,#3d462a
dark greenish gray,17.34,57 78 65,#394e41
dark greenish yellow,33.58,140 142 15,#8c8e0f
dark greeny turquoise,27.49,22 108 82,#166c52
dark hazel brown,21.59,101 60 33,#653c21
dark hot pink,27.5,185 47 85,#b92f55
dark khaki,24.22,95 86 58,#5f563a
dark lime green,28.81,94 187 30,#5ebb1e
dark maroon,23.75,82 26 30,#521a1e
dark mint,26.85,83 135 117,#538775
dark olive green,21.02,69 86 48,#455630
dark orange,26.86,185 76 9,#b94c09
dark orangy brown,23.85,149 67 15,#95430f
dark orangy gray,25.81,110 70 45,#6e462d
dark orangy pink,27.86,189 80 66,#bd5042
dark orangy red,36.78,161 38 11,#a1260b
